STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,24-07-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-07-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,26-07-1996,,,90,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,27-07-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,28-07-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,29-07-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,30-07-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,31-07-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-08-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-08-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-08-1996,,,84,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-08-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-08-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-08-1996,,,88,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-08-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-08-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-08-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-08-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,11-08-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,12-08-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,13-08-1996,,,87,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,14-08-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,15-08-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,16-08-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,17-08-1996,,,85,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,18-08-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,19-08-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,20-08-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,21-08-1996,,,81,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,22-08-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,25-08-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,31-08-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,01-09-1996,,,83,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,02-09-1996,,,86,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,03-09-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,04-09-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,05-09-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,06-09-1996,,,82,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,07-09-1996,,,79,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,08-09-1996,,,78,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,09-09-1996,,,80,"H,,S"
IN022023000,"NEW DELHI PALAM, IN",28.567,77.117,233,10-09-1996,,,82,"H,,S"
